topic,name,url,
Array,Reverse the array,https://practice.geeksforgeeks.org/problems/reverse-a-string/1,
Array,Find the maximum and minimum element in an array,https://www.geeksforgeeks.org/maximum-and-minimum-in-an-array/,
Array,"Find the ""Kth"" max and min element of an array ",https://practice.geeksforgeeks.org/problems/kth-smallest-element/0,
Array,"Given an array which consists of only 0, 1 and 2. Sort the array without using any sorting algo",https://practice.geeksforgeeks.org/problems/sort-an-array-of-0s-1s-and-2s4231/1,
Array,Move all the negative elements to one side of the array ,https://www.geeksforgeeks.org/move-negative-numbers-beginning-positive-end-constant-extra-space/,
Array,Find the Union and Intersection of the two sorted arrays.,https://practice.geeksforgeeks.org/problems/union-of-two-arrays/0,
Array,Write a program to cyclically rotate an array by one.,https://practice.geeksforgeeks.org/problems/cyclically-rotate-an-array-by-one/0,
Array,find Largest sum contiguous Subarray [V. IMP],https://practice.geeksforgeeks.org/problems/kadanes-algorithm/0,
Array,Minimise the maximum difference between heights [V.IMP],https://practice.geeksforgeeks.org/problems/minimize-the-heights3351/1,
Array,Minimum no. of Jumps to reach end of an array,https://practice.geeksforgeeks.org/problems/minimum-number-of-jumps/0,
Array,find duplicate in an array of N+1 Integers,https://leetcode.com/problems/find-the-duplicate-number/,
Array,Merge 2 sorted arrays without using Extra space.,https://practice.geeksforgeeks.org/problems/merge-two-sorted-arrays5135/1,
Array,Kadane's Algo [V.V.V.V.V IMP],https://practice.geeksforgeeks.org/problems/kadanes-algorithm/0,
Array,Merge Intervals,https://leetcode.com/problems/merge-intervals/,
Array,Next Permutation,https://leetcode.com/problems/next-permutation/,
Array,Count Inversion,https://practice.geeksforgeeks.org/problems/inversion-of-array/0,
Array,Best time to buy and Sell stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,
Array,find all pairs on integer array whose sum is equal to given number,https://practice.geeksforgeeks.org/problems/count-pairs-with-given-sum5022/1,
Array,find common elements In 3 sorted arrays,https://practice.geeksforgeeks.org/problems/common-elements1132/1,
Array,Rearrange the array in alternating positive and negative items with O(1) extra space,https://www.geeksforgeeks.org/rearrange-array-alternating-positive-negative-items-o1-extra-space/,
Array,Find if there is any subarray with sum equal to 0,https://practice.geeksforgeeks.org/problems/subarray-with-0-sum/0,
Array,Find factorial of a large number,https://practice.geeksforgeeks.org/problems/factorials-of-large-numbers/0,
Array,find maximum product subarray ,https://practice.geeksforgeeks.org/problems/maximum-product-subarray3604/1,
Array,Find longest coinsecutive subsequence,https://practice.geeksforgeeks.org/problems/longest-consecutive-subsequence/0,
Array,"Given an array of size n and a number k, fin all elements that appear more than "" n/k "" times.",https://www.geeksforgeeks.org/given-an-array-of-of-size-n-finds-all-the-elements-that-appear-more-than-nk-times/,
Array,Maximum profit by buying and selling a share atmost twice,https://www.geeksforgeeks.org/maximum-profit-by-buying-and-selling-a-share-at-most-twice/,
Array,Find whether an array is a subset of another array,https://practice.geeksforgeeks.org/problems/array-subset-of-another-array/0,
Array,Find the triplet that sum to a given value,https://practice.geeksforgeeks.org/problems/triplet-sum-in-array/0,
Array,Trapping Rain water problem,https://practice.geeksforgeeks.org/problems/trapping-rain-water/0,
Array,Chocolate Distribution problem,https://practice.geeksforgeeks.org/problems/chocolate-distribution-problem/0,
Array,Smallest Subarray with sum greater than a given value,https://practice.geeksforgeeks.org/problems/smallest-subarray-with-sum-greater-than-x/0,
Array,Three way partitioning of an array around a given value,https://practice.geeksforgeeks.org/problems/three-way-partitioning/1,
Array,Minimum swaps required bring elements less equal K together,https://practice.geeksforgeeks.org/problems/minimum-swaps-required-to-bring-all-elements-less-than-or-equal-to-k-together/0,
Array,Minimum no. of operations required to make an array palindrome,https://practice.geeksforgeeks.org/problems/palindromic-array/0,
Array,Median of 2 sorted arrays of equal size,https://practice.geeksforgeeks.org/problems/find-the-median0527/1,
Array,Median of 2 sorted arrays of different size,https://www.geeksforgeeks.org/median-of-two-sorted-arrays-of-different-sizes/,
Matrix,Spiral traversal on a Matrix,https://practice.geeksforgeeks.org/problems/spirally-traversing-a-matrix/0,
Matrix,Search an element in a matriix,https://leetcode.com/problems/search-a-2d-matrix/,
